date,twse_close,twse_change_pct,candidate_count,v01_score,v01_regime,v02_score,v02_regime,breakout_count,postbreakout_count,near_pivot_count,forming_count,extended_count,active_industry_count,t1_return_pct,t3_return_pct,t5_return_pct,t10_return_pct,v02_delta_1d,v02_delta_5d,divergence_1d
2026-07-28,41603.36,-4.6542,39,71.2,偏多,75.3,偏多,1,15,17,6,2,8,-3.7597,3.6449,4.2239,8.4545,-2.4000000000000057,-14.600000000000009,2.2541999999999947
2026-07-29,40039.18,-3.7597,30,50.2,中性,75.7,偏多,0,10,14,6,0,6,-0.2644,8.3599,11.4199,13.6838,0.4000000000000057,4.6000000000000085,4.159700000000006
2026-07-30,39933.3,-0.2644,29,90.7,偏多,90.2,偏多,3,10,12,4,1,5,7.9794,8.5827,11.1771,15.2459,14.5,7.5,14.7644
2026-07-31,43119.75,7.9794,45,81.1,偏多,81.9,偏多,4,18,13,10,3,11,0.6184,3.4598,2.5653,6.2414,-8.299999999999997,6.6000000000000085,-16.279399999999995
2026-08-03,43386.41,0.6184,54,46.9,中性,71.4,偏多,0,19,23,12,1,8,-0.0594,2.3286,3.5549,5.695,-10.5,-6.299999999999997,-11.1184
2026-08-04,43360.66,-0.0594,59,70.7,偏多,73.7,偏多,1,19,28,11,3,9,2.885,1.9955,4.0591,4.4926,2.299999999999997,-1.5999999999999943,2.3593999999999973
2026-08-05,44611.6,2.885,89,82.3,偏多,88.5,偏多,6,27,36,20,3,14,-0.4817,0.7109,2.0319,0.2415,14.799999999999997,12.799999999999997,11.914999999999997
2026-08-06,44396.7,-0.4817,100,79.8,偏多,83.9,偏多,6,30,44,20,6,16,-0.3847,1.6308,3.6597,1.2096,-4.599999999999994,-6.299999999999997,-4.118299999999994
2026-08-07,44225.91,-0.3847,96,69.3,中性偏多,75.2,偏多,3,36,38,19,6,17,1.5892,2.9217,3.5841,2.2575,-8.700000000000003,-6.700000000000003,-8.315300000000002
2026-08-10,44928.76,1.5892,124,77.7,偏多,78.6,偏多,10,53,40,21,12,17,0.4272,2.4321,2.0666,-0.3705,3.3999999999999915,7.199999999999989,1.8107999999999915
2026-08-11,45120.72,0.4272,126,66.2,中性偏多,69.4,中性偏多,5,57,36,28,12,20,0.8806,1.5299,0.4166,0.108,-9.199999999999989,-4.299999999999997,-9.627199999999988
2026-08-12,45518.07,0.8806,142,65.6,中性偏多,68.0,中性偏多,6,69,39,28,15,25,1.106,0.7452,-1.7547,0.691,-1.4000000000000057,-20.5,-2.280600000000006
2026-08-13,46021.48,1.106,139,68.8,中性偏多,70.4,偏多,8,69,38,24,16,25,-0.4573,-1.5488,-2.3636,-0.1005,2.4000000000000057,-13.5,1.2940000000000056
2026-08-14,45811.01,-0.4573,136,62.2,中性偏多,64.9,中性偏多,4,63,48,21,20,22,0.101,-2.383,-1.2807,1.1361,-5.5,-10.299999999999997,-5.0427
2026-08-17,45857.27,0.101,140,72.6,偏多,75.1,偏多,10,57,48,25,30,21,-1.1963,-2.0139,-2.3877,0.5914,10.199999999999989,-3.5,10.098999999999988
2026-08-18,45308.68,-1.1963,117,54.7,中性,57.8,中性偏多,1,58,38,20,23,20,-1.3007,-0.1863,-0.3073,3.6197,-17.299999999999997,-11.600000000000009,-16.103699999999996
2026-08-19,44719.35,-1.3007,106,55.8,中性偏多,58.9,中性偏多,1,51,37,17,19,20,0.4794,0.0961,2.4895,3.2321,1.1000000000000014,-9.100000000000001,2.4007000000000014
2026-08-20,44933.74,0.4794,103,66.2,中性偏多,68.0,中性偏多,4,45,34,20,12,20,0.6466,0.5246,2.3178,2.0562,9.100000000000001,-2.4000000000000057,8.620600000000001
2026-08-21,45224.29,0.6466,131,58.4,中性偏多,59.0,中性偏多,2,65,40,24,16,24,-1.0215,1.3451,2.4482,2.9339,-9.0,-5.900000000000006,-9.6466
2026-08-24,44762.32,-1.0215,130,66.8,中性偏多,70.0,偏多,4,58,47,21,11,23,0.9096,2.7096,3.052,5.7279,11.0,-5.099999999999994,12.0215
2026-08-25,45169.46,0.9096,125,58.9,中性偏多,60.7,中性偏多,3,64,36,22,17,18,1.4682,2.5725,3.9391,4.2868,-9.299999999999997,2.9000000000000057,-10.209599999999996
2026-08-26,45832.62,1.4682,164,63.4,中性偏多,66.1,中性偏多,5,68,59,32,23,20,0.3111,0.6455,0.7246,2.9471,5.3999999999999915,7.199999999999996,3.9317999999999915
2026-08-27,45975.22,0.3111,190,65.8,中性偏多,69.9,中性偏多,9,80,62,39,34,21,0.7748,2.1174,-0.2557,2.0995,3.8000000000000114,1.9000000000000057,3.488900000000011
2026-08-28,46331.45,0.7748,186,53.2,中性,55.3,中性偏多,1,94,52,39,36,20,-0.4381,-0.3599,0.4741,-0.3164,-14.600000000000009,-3.700000000000003,-15.37480000000001
